ANNO,MES,ENERGIA_GENERADA,ENERGIA_DEPOSITADA,ENERGIA_RETIRADA,IMPORTE_POR_ENERGIA_RETIRADA,EMPRESA,CODIGO_TARIFA,CODIGO_TARIFA1,TOTAL_CONSUMO_KWH,TOTAL_IMPORTE_ENE,Suma de DISTRITO,Recuento de DISTRITO,Provincia1,CONSUMO_NATURAL,SECTOR,Data_Check
2018,10,390,170,191,5321,ICE,1,Residencial,441,48911,70201,1,Limón,852,Residencial,TRUE
2018,1,468,293,229,6139,ICE,1,Residencial,331,33957,61001,1,Puntarenas,735,Residencial,TRUE
2018,2,510,328,250,6965,ICE,1,Residencial,313,30995,61001,1,Puntarenas,745,Residencial,TRUE
2018,3,628,481,210,5851,ICE,1,Residencial,0,3072,61001,1,Puntarenas,357,Residencial,TRUE
2018,4,707,503,296,8247,ICE,1,Residencial,0,3073,61001,1,Puntarenas,500,Residencial,TRUE
2018,5,546,969,335,9333,ICE,1,Residencial,0,3102,61001,1,Puntarenas,-88,Residencial,FALSE
2018,6,464,285,308,8581,ICE,1,Residencial,126,9770,61001,1,Puntarenas,613,Residencial,TRUE
2018,7,474,305,232,6211,ICE,1,Residencial,52,4031,61001,1,Puntarenas,453,Residencial,TRUE
2018,8,440,230,216,6018,ICE,1,Residencial,187,14425,61001,1,Puntarenas,613,Residencial,TRUE
2018,9,514,310,252,7021,ICE,1,Residencial,161,12420,61001,1,Puntarenas,617,Residencial,TRUE
2018,10,457,264,224,6241,ICE,1,Residencial,178,13725,61001,1,Puntarenas,595,Residencial,TRUE
2018,1,374,246,183,5034,ICE,1,Residencial,39,3086,20111,1,Alajuela,350,Residencial,TRUE
2018,2,428,289,210,5851,ICE,1,Residencial,3,3072,20111,1,Alajuela,352,Residencial,TRUE
2018,3,422,288,206,5739,ICE,1,Residencial,28,3072,20111,1,Alajuela,368,Residencial,TRUE
2018,4,504,353,229,6380,ICE,1,Residencial,0,3092,20111,1,Alajuela,380,Residencial,TRUE
2018,5,398,272,210,5851,ICE,1,Residencial,0,3102,20111,1,Alajuela,336,Residencial,TRUE
2018,6,425,289,212,5906,ICE,1,Residencial,331,33814,20111,1,Alajuela,679,Residencial,TRUE
2018,7,390,245,191,5113,ICE,1,Residencial,60,4636,20111,1,Alajuela,396,Residencial,TRUE
2018,8,361,224,177,4931,ICE,1,Residencial,90,6943,20111,1,Alajuela,404,Residencial,TRUE
2018,9,380,246,186,5182,ICE,1,Residencial,121,9334,20111,1,Alajuela,441,Residencial,TRUE
2018,1,229,157,112,3003,ICE,1,Residencial,183,14249,51101,1,Guanacaste,367,Residencial,TRUE
2018,2,214,130,105,2925,ICE,1,Residencial,128,9829,51101,1,Guanacaste,317,Residencial,TRUE
2018,3,233,146,114,3176,ICE,1,Residencial,130,9983,51101,1,Guanacaste,331,Residencial,TRUE
2018,4,253,126,124,3455,ICE,1,Residencial,217,17716,51101,1,Guanacaste,468,Residencial,TRUE
2018,7,151,94,74,1981,ICE,1,Residencial,29,3101,51101,1,Guanacaste,160,Residencial,TRUE
2018,8,139,71,69,1922,ICE,1,Residencial,269,25020,51101,1,Guanacaste,406,Residencial,TRUE
2018,9,172,108,84,2340,ICE,1,Residencial,0,3086,51101,1,Guanacaste,148,Residencial,TRUE
2018,10,168,99,82,2285,ICE,1,Residencial,15,3084,51101,1,Guanacaste,166,Residencial,TRUE
2018,1,1194,813,585,15684,ICE,1,Residencial,130,10122,20503,1,Alajuela,1096,Residencial,TRUE
2018,2,976,590,478,13317,ICE,1,Residencial,326,32794,20503,1,Alajuela,1190,Residencial,TRUE
