Consumo,TCO,TCS,TIN,TMT,TMTb,TRE,TUD,Total general
291,62,7,5,0,0,747,0,821
292,74,8,0,0,0,757,0,839
293,58,4,3,0,0,800,0,865
294,95,4,1,0,0,718,0,818
295,63,5,2,0,0,743,0,813
296,66,10,1,0,0,764,0,841
297,46,7,3,0,0,716,0,772
298,62,6,1,0,0,676,0,745
299,59,7,2,0,0,749,0,817
300,87,9,1,0,0,1099,0,1196
301,56,0,0,0,0,678,0,734
302,64,6,3,0,0,658,0,731
303,52,7,1,0,0,672,0,732
304,76,2,3,0,0,682,0,763
305,67,6,2,0,0,651,0,726
306,71,4,3,0,0,638,0,716
307,71,3,1,0,0,619,0,694
308,77,4,3,0,0,627,0,711
309,50,9,4,0,0,646,0,709
310,68,6,3,0,0,686,0,763
311,57,2,4,0,0,595,0,658
312,60,3,4,0,0,627,0,694
313,56,11,0,0,0,591,0,658
314,60,4,2,0,0,579,0,645
315,56,5,1,0,0,675,0,737
316,44,2,2,0,0,549,0,597
317,63,2,2,0,0,564,0,631
318,58,4,4,0,0,548,0,614
319,59,4,3,0,0,582,0,648
320,60,8,4,0,0,574,0,646
321,67,3,4,0,0,513,0,587
322,40,6,0,0,0,567,0,613
323,54,4,1,0,0,507,0,566
324,51,5,2,0,0,545,0,603
325,65,8,3,0,0,518,0,594
326,62,4,0,0,0,479,0,545
327,65,6,3,0,0,531,0,605
328,50,2,2,0,0,507,0,561
329,62,4,0,0,0,525,0,591
330,89,1,3,0,0,719,0,812
331,63,6,2,0,0,460,0,531
332,66,6,4,0,0,445,0,521
333,45,2,4,0,0,429,0,480
334,53,7,3,0,0,467,0,530
335,65,4,1,0,0,450,0,520
336,68,4,1,0,0,445,0,518
337,61,3,4,0,0,443,0,511
338,59,4,3,0,0,443,0,509
339,57,5,3,0,0,412,0,477
340,69,4,4,0,0,479,0,556
341,44,4,0,0,0,416,0,464
342,54,1,1,0,0,403,0,459
343,58,1,0,0,0,417,0,476
344,52,3,1,0,0,403,0,459
345,61,5,1,0,0,470,0,537
346,62,4,4,0,0,415,0,485
347,48,2,2,0,0,405,0,457
348,50,6,2,0,0,384,0,442
349,55,1,1,0,0,353,0,410
350,57,3,2,0,0,421,0,483
351,65,6,2,0,0,380,0,453
352,62,4,0,0,0,356,0,422
353,61,3,2,0,0,352,0,418
354,58,3,3,0,0,335,0,399
355,54,4,2,0,0,331,0,391
356,48,5,2,0,0,364,0,419
357,50,6,4,0,0,298,0,358
358,55,4,1,0,0,316,0,376
359,71,4,3,0,0,358,0,436
360,107,6,4,0,0,539,0,656
361,45,3,1,0,0,319,0,368
362,59,4,2,0,0,318,0,383
363,58,4,1,0,0,305,0,368
364,47,5,0,0,0,296,0,348
365,50,7,3,0,0,312,0,372
366,61,5,1,0,0,300,0,367
